매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
40917870,K5 3세대,2050,1,55742,1999,5,6,6,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
40951552,쏘렌토 4세대,1890,1,195151,2151,5,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
40774518,올 뉴 카니발,1320,1,135909,2199,9,9,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
41085315,더 뉴 카니발 4세대,6950,1,27656,1598,9,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41071847,스포티지 5세대,2490,1,33530,1598,5,2,18,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41461617,올 뉴 K7,1199,1,169145,2199,5,9,15,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41461600,카니발 4세대,3199,1,32734,2151,9,5,5,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
41467664,올 뉴 카니발,790,1,229459,2199,9,9,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
41398634,K5 3세대,2690,1,67110,1598,5,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
41391639,올 뉴 카니발,1290,1,232893,3342,9,10,9,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41371231,카니발 4세대,2430,1,102428,3470,9,4,6,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41530623,올 뉴 카니발,1650,1,95138,2199,7,9,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
41552362,더 뉴 카니발,950,1,204614,2199,9,7,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41509653,쏘렌토 4세대,2430,1,82802,2151,5,4,8,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
41630822,올 뉴 카니발,740,1,207497,2199,9,11,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41005266,스포티지 5세대,2599,1,97082,1598,5,4,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
